play_id,game_id,Number,Kicker,Yards,Outcome,hash,make_x,make_y,posteam,defteam,game_date,qtr,quarter_seconds_remaining,yardline_100,desc
2070,2022_05_CHI_MIN,1,G. Joseph,53,No Good,-9.25,10.1,25.3,MIN,CHI,2022-10-09,2,3,36,"(:03) 1-G.Joseph 53 yard field goal is No Good, Wide Right, Center-42-A.DePaola, Holder-14-R.Wright."
2491,2022_05_CHI_MIN,1,G. Joseph,51,Blocked,9.25,,,MIN,CHI,2022-10-09,3,458,33,"(7:38) 1-G.Joseph 51 yard field goal is BLOCKED (91-D.Robinson), Center-42-A.DePaola, Holder-14-R.Wright."
2783,2022_05_CHI_MIN,2,C. Santos,43,Good,9.25,-1.5,27.9,CHI,MIN,2022-10-09,3,69,25,"(1:09) 2-C.Santos 43 yard field goal is GOOD, Center-48-P.Scales, Holder-16-T.Gill."
3171,2022_05_CHI_MIN,2,C. Santos,51,Good,-9.25,-4.6,6.3,CHI,MIN,2022-10-09,4,571,33,"(9:31) 2-C.Santos 51 yard field goal is GOOD, Center-48-P.Scales, Holder-16-T.Gill."
392,2022_05_CIN_BAL,9,J. Tucker,37,Good,9.25,-5.4,27.8,BAL,CIN,2022-10-09,1,487,19,"(8:07) 9-J.Tucker 37 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout."
2009,2022_05_CIN_BAL,2,E. McPherson,40,Good,-9.25,-1.8,31.6,CIN,BAL,2022-10-09,2,8,22,"(:08) 2-E.McPherson 40 yard field goal is GOOD, Center-48-C.Adomitis, Holder-10-K.Huber."
2349,2022_05_CIN_BAL,9,J. Tucker,58,Good,9.25,-3.5,18.8,BAL,CIN,2022-10-09,3,654,40,"(10:54) 9-J.Tucker 58 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout."
3255,2022_05_CIN_BAL,9,J. Tucker,25,Good,-9.25,-4.3,31.6,BAL,CIN,2022-10-09,4,586,7,"(9:46) 9-J.Tucker 25 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout."
3868,2022_05_CIN_BAL,9,J. Tucker,43,Good,-1,-0.8,34.1,BAL,CIN,2022-10-09,4,3,25,"(:03) 9-J.Tucker 43 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout."
474,2022_05_DAL_LA,19,B. Maher,33,Good,9.25,3.6,30.6,DAL,LA,2022-10-09,1,527,15,"(8:47) 19-B.Maher 33 yard field goal is GOOD, Center-45-M.Overton, Holder-5-B.Anger."
